06/08/2023 - 08:34:06 PM	Сэр Яйцо(Беженец) changed his team from 'Гражданин' to 'Беженец'
06/08/2023 - 08:34:06 PM	Кэлт(UNIT.1) entered 'discs_request'
06/08/2023 - 08:34:07 PM	Шурик(Гражданин) entered 'discs_request'
06/08/2023 - 08:34:07 PM	Garry Huffan(Гражданин) entered 'discs_request'
06/08/2023 - 08:34:07 PM	vadimhalo(Гражданин) entered 'discs_request'
06/08/2023 - 08:34:09 PM	squadron(Гражданин) said '/name Squadron Jhonson'
06/08/2023 - 08:34:09 PM	squadron(Гражданин) changed his name from 'squadron' to 'Squadron Jhonson'
06/08/2023 - 08:34:09 PM	♥schitrelz♥(Гражданин) entered 'discs_request'
06/08/2023 - 08:34:09 PM	Assassinkz(Гражданин) entered 'discs_request'
06/08/2023 - 08:34:10 PM	nonrp(Гражданин) entered 'discs_request'
06/08/2023 - 08:34:11 PM	Филя Кочевник(Гражданин) entered 'discs_request'
06/08/2023 - 08:34:11 PM	Me6oK(Гражданин) entered 'discs_request'
06/08/2023 - 08:34:13 PM	❤ Konsuni ❤(Повстанец) entered 'discs_request'
06/08/2023 - 08:34:15 PM	Squadron Jhonson(Гражданин) entered 'discs_request'
06/08/2023 - 08:34:15 PM	💀 SCP-173 💀(UA)(Гражданин) entered 'discs_request'
06/08/2023 - 08:34:16 PM	Сэр Яйцо(Беженец) entered 'discs_request'
06/08/2023 - 08:34:16 PM	Кэлт(UNIT.1) entered 'discs_request'
06/08/2023 - 08:34:17 PM	Шурик(Гражданин) entered 'discs_request'
06/08/2023 - 08:34:17 PM	Garry Huffan(Гражданин) entered 'discs_request'
06/08/2023 - 08:34:17 PM	vadimhalo(Гражданин) entered 'discs_request'
06/08/2023 - 08:34:19 PM	♥schitrelz♥(Гражданин) entered 'discs_request'
06/08/2023 - 08:34:19 PM	Assassinkz(Гражданин) entered 'discs_request'
06/08/2023 - 08:34:20 PM	nonrp(Гражданин) entered 'discs_request'
06/08/2023 - 08:34:21 PM	Филя Кочевник(Гражданин) entered 'discs_request'
06/08/2023 - 08:34:21 PM	J_EliteCmb(Joining/Connecting) connected from the server
06/08/2023 - 08:34:21 PM	Me6oK(Гражданин) entered 'discs_request'
06/08/2023 - 08:34:23 PM	❤ Konsuni ❤(Повстанец) entered 'discs_request'
06/08/2023 - 08:34:25 PM	Squadron Jhonson(Гражданин) entered 'discs_request'
06/08/2023 - 08:34:25 PM	💀 SCP-173 💀(UA)(Гражданин) entered 'discs_request'
06/08/2023 - 08:34:26 PM	Сэр Яйцо(Беженец) entered 'discs_request'
06/08/2023 - 08:34:26 PM	Кэлт(UNIT.1) entered 'discs_request'
06/08/2023 - 08:34:27 PM	Шурик(Гражданин) entered 'discs_request'
06/08/2023 - 08:34:27 PM	Garry Huffan(Гражданин) entered 'discs_request'
06/08/2023 - 08:34:27 PM	vadimhalo(Гражданин) entered 'discs_request'
06/08/2023 - 08:34:29 PM	♥schitrelz♥(Гражданин) entered 'discs_request'
06/08/2023 - 08:34:29 PM	Assassinkz(Гражданин) entered 'discs_request'
06/08/2023 - 08:34:30 PM	nonrp(Гражданин) entered 'discs_request'
06/08/2023 - 08:34:31 PM	Филя Кочевник(Гражданин) entered 'discs_request'
06/08/2023 - 08:34:31 PM	Me6oK(Гражданин) entered 'discs_request'
06/08/2023 - 08:34:33 PM	❤ Konsuni ❤(Повстанец) entered 'discs_request'
06/08/2023 - 08:34:35 PM	Squadron Jhonson(Гражданин) entered 'discs_request'
06/08/2023 - 08:34:36 PM	💀 SCP-173 💀(UA)(Гражданин) entered 'discs_request'
06/08/2023 - 08:34:36 PM	Сэр Яйцо(Беженец) entered 'discs_request'
06/08/2023 - 08:34:36 PM	Кэлт(UNIT.1) entered 'discs_request'
06/08/2023 - 08:34:37 PM	Шурик(Гражданин) entered 'discs_request'
06/08/2023 - 08:34:37 PM	Garry Huffan(Гражданин) entered 'discs_request'
06/08/2023 - 08:34:37 PM	vadimhalo(Гражданин) entered 'discs_request'
06/08/2023 - 08:34:39 PM	♥schitrelz♥(Гражданин) entered 'discs_request'
06/08/2023 - 08:34:39 PM	Assassinkz(Гражданин) entered 'discs_request'
06/08/2023 - 08:34:40 PM	nonrp(Гражданин) entered 'discs_request'
06/08/2023 - 08:34:40 PM	J_EliteCmb(Гражданин) entered 'discs_request'
06/08/2023 - 08:34:41 PM	Филя Кочевник(Гражданин) entered 'discs_request'
06/08/2023 - 08:34:42 PM	Me6oK(Гражданин) entered 'discs_request'
06/08/2023 - 08:34:43 PM	J_EliteCmb(Гражданин) entered 'discs_request'
06/08/2023 - 08:34:43 PM	J_EliteCmb(Гражданин) entered 'discs_request'
06/08/2023 - 08:34:43 PM	J_EliteCmb(Гражданин) entered 'discs_request'
06/08/2023 - 08:34:43 PM	❤ Konsuni ❤(Повстанец) entered 'discs_request'
06/08/2023 - 08:34:45 PM	♥schitrelz♥(Гражданин) said '/adminpcovstanec'
06/08/2023 - 08:34:45 PM	♥schitrelz♥(Повстанец) changed his team from 'Гражданин' to 'Повстанец'
06/08/2023 - 08:34:45 PM	Squadron Jhonson(Гражданин) entered 'discs_request'
06/08/2023 - 08:34:45 PM	💀 SCP-173 💀(UA)(Гражданин) entered 'discs_request'
06/08/2023 - 08:34:46 PM	Сэр Яйцо(Беженец) entered 'discs_request'
06/08/2023 - 08:34:46 PM	Кэлт(UNIT.1) entered 'discs_request'
06/08/2023 - 08:34:47 PM	Шурик(Гражданин) entered 'discs_request'
06/08/2023 - 08:34:47 PM	Garry Huffan(Гражданин) entered 'discs_request'
06/08/2023 - 08:34:47 PM	vadimhalo(Гражданин) entered 'discs_request'
06/08/2023 - 08:34:49 PM	♥schitrelz♥(Повстанец) entered 'discs_request'
06/08/2023 - 08:34:49 PM	Assassinkz(Гражданин) entered 'discs_request'
06/08/2023 - 08:34:50 PM	nonrp(Гражданин) entered 'discs_request'
06/08/2023 - 08:34:50 PM	кирилл буданов(Joining/Connecting) connected from the server
06/08/2023 - 08:34:51 PM	Филя Кочевник(Гражданин) entered 'discs_request'
